FIPS_master,State_master,DB:2009:percent,DB:2010:percent,TOT_POP,TOT_MALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,H_MALE,H_FEMALE,AgeGrp01:0-4:2010,AgeGrp02:5-9:2010,AgeGrp03:10-14:2010,AgeGrp04:15-19:2010,AgeGrp05:20-24:2010,AgeGrp06:25-29:2010,AgeGrp07:30-34:2010,AgeGrp08:35-39:2010,AgeGrp09:40-44:2010,AgeGrp10:45-49:2010,AgeGrp11:50-54:2010,AgeGrp12:55-59:2010,AgeGrp13:60-64:2010,AgeGrp14:65-69:2010,AgeGrp15:70-74:2010,AgeGrp16:75-79:2010,AgeGrp17:80-84:2010,AgeGrp18:85+:2010,UnemploymentRate:2010,PCT_LACCESS_POP10,FFRPTH09,Poverty_Rate_2010,LI:2009:percent,LI:2010:percent,OB:2009:percent,OB:2010:percent,Rural_percent_2010,Alcohol:Any:2010,Alcohol:Heavy:2010
47005,Tennessee,13.5,13.9,16489.0,8073.0,7846.0,8158.0,191.0,209.0,84.0,83.0,45.0,60.0,3.0,5.0,156.0,135.0,840.0,857.0,1027.0,1028.0,712.0,765.0,826.0,956.0,1117.0,1239.0,1256.0,1217.0,1368.0,1077.0,879.0,556.0,412.0,357.0,12.3,13.471586171073383,0.426205553,20.406649774426796,32.1,35.2,33.4,34.0,78.45836618351628,29.1,4.0
16043,Idaho,8.7,8.9,13242.0,6963.0,6829.0,6165.0,67.0,51.0,114.0,105.0,30.0,33.0,17.0,19.0,945.0,749.0,1166.0,1149.0,1096.0,1078.0,687.0,861.0,818.0,693.0,749.0,801.0,869.0,763.0,668.0,613.0,427.0,374.0,263.0,167.0,8.7,12.489496213357802,0.455477112,10.822579368221042,22.9,19.7,23.5,23.7,72.04349796103308,26.1,4.5
37093,North Carolina,11.3,11.2,46952.0,22878.0,12496.0,12570.0,8184.0,8865.0,2638.0,3002.0,376.0,594.0,145.0,131.0,2970.0,2853.0,4576.0,4073.0,3637.0,3005.0,3067.0,4335.0,4068.0,3610.0,2960.0,3041.0,2878.0,2387.0,1832.0,1221.0,896.0,623.0,413.0,330.0,10.1,22.58829733131922,0.264282253,21.878312028204963,28.7,30.1,33.6,33.1,43.15045152496167,41.8,4.6
54105,West Virginia,14.6,14.4,5717.0,2868.0,2855.0,2829.0,10.0,14.0,26.0,19.0,4.0,12.0,0.0,1.0,10.0,16.0,303.0,314.0,364.0,364.0,259.0,295.0,291.0,329.0,394.0,499.0,532.0,443.0,436.0,315.0,263.0,146.0,88.0,82.0,12.5,1.1591750945558614,0.350692618,15.694444444444445,29.4,32.5,37.5,38.4,100.0,27.7,4.3
20033,Kansas,10.3,11.0,1891.0,911.0,906.0,968.0,4.0,5.0,11.0,10.0,1.0,4.0,0.0,2.0,34.0,39.0,100.0,116.0,148.0,94.0,65.0,84.0,86.0,108.0,78.0,135.0,143.0,139.0,140.0,132.0,101.0,98.0,63.0,61.0,4.5,17.82066212783141,0.0,6.219312602291326,31.4,30.9,28.9,30.4,100.0,51.5,6.7
29019,Missouri,6.9,6.8,162642.0,78950.0,68168.0,71953.0,8445.0,9256.0,972.0,964.0,3526.0,3763.0,100.0,123.0,2540.0,2355.0,10155.0,9513.0,9090.0,14681.0,24870.0,14037.0,10678.0,9625.0,8984.0,9982.0,9842.0,8916.0,7197.0,4628.0,3485.0,2613.0,2053.0,2293.0,6.5,32.16461904120258,0.759816897,19.463768587511794,21.1,22.8,27.6,25.7,18.786045424920992,59.5,7.9
18113,Indiana,9.9,10.2,47536.0,23785.0,23483.0,23484.0,202.0,176.0,162.0,150.0,127.0,163.0,20.0,18.0,2415.0,2152.0,3454.0,3494.0,3709.0,3425.0,2715.0,2758.0,2965.0,3083.0,3131.0,3473.0,3588.0,3118.0,2682.0,1913.0,1291.0,1048.0,824.0,865.0,13.2,6.800408267444337,0.60957666,12.979591836734695,27.5,25.2,31.0,33.9,68.049478290138,47.0,6.8
35047,New Mexico,7.2,8.7,29393.0,14661.0,13821.0,13908.0,324.0,273.0,546.0,605.0,182.0,195.0,46.0,30.0,11343.0,11240.0,1622.0,1678.0,1835.0,2478.0,2035.0,1670.0,1522.0,1577.0,1664.0,2298.0,2283.0,2187.0,2075.0,1580.0,1152.0,790.0,517.0,430.0,9.6,31.341762340651208,0.477229343,26.65822326759544,19.5,19.8,22.5,22.4,46.89551934133978,48.6,7.0
29099,Missouri,10.5,9.8,218733.0,108846.0,106819.0,107840.0,1527.0,1263.0,968.0,933.0,916.0,1191.0,67.0,78.0,1776.0,1632.0,14971.0,15086.0,15450.0,15192.0,12457.0,14017.0,14384.0,14755.0,15414.0,18515.0,17497.0,14664.0,11937.0,8816.0,6011.0,4351.0,2879.0,2337.0,10.4,27.935935195396304,0.541871016,10.524395257209108,31.3,29.6,35.5,35.1,30.196175245619088,54.3,8.4
26025,Michigan,11.6,12.2,136146.0,66519.0,57312.0,60200.0,8669.0,8900.0,1143.0,1149.0,1340.0,1396.0,112.0,107.0,3136.0,3041.0,8752.0,9052.0,9190.0,10216.0,8426.0,7840.0,7863.0,8210.0,8724.0,9949.0,10207.0,9568.0,8040.0,5847.0,4518.0,3716.0,3082.0,2946.0,11.7,23.633843357318906,0.704323519,16.9752042511293,28.1,25.2,35.5,37.1,30.977039354810277,55.3,7.8
